timestamp,code,i01,i02,i03,i04r,i05,i06,i07,i08r,i09,i10,n_facebook_friends,n_hangover,age,sex,extra_single_item,time_conversation,presentation,n_party,clients,extra_vignette,extra_description,prop_na_per_row,extra_mean,extra_median,n_clients
15.09.2015 15:32:00,AUA,3,3,2,2,3,2,4,4,3,3,800,1.0,21,Mann,2,5.0,ja,0.0,im Schnitt 1 Mal pro Tag,,NA,0.043478260869565216,2.9,3.0,1.0
15.09.2015 15:37:06,MDG,3,4,2,1,3,4,3,2,2,4,350,50.0,24,Mann,1,10.0,nein,50.0,im Schnitt 1 Mal pro Quartal (oder weniger),,NA,0.043478260869565216,2.8,3.0,1.0
15.09.2015 16:04:55,TBA,4,1,2,1,3,2,3,1,4,4,423,10.0,23,Frau,3,10.0,ja,15.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.5,2.5,NA
15.09.2015 16:19:39,SBR,3,2,1,2,3,2,3,2,4,2,NA,4.0,25,Frau,3,5.0,nein,8.0,im Schnitt mehrfach pro Tag,,NA,0.08695652173913043,2.4,2.0,NA
15.09.2015 16:29:17,UFW,4,1,3,1,3,2,3,2,3,2,250,0.0,24,Frau,4,10.0,ja,65.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.4,2.5,NA
15.09.2015 17:20:23,HHB,4,2,2,1,4,2,3,2,4,3,NA,2.0,21,Frau,4,2.0,ja,5.0,im Schnitt 1 Mal pro Quartal (oder weniger),,NA,0.08695652173913043,2.7,2.5,1.0
15.09.2015 17:20:54,HHB,4,2,2,1,4,2,3,2,4,3,0,2.0,21,Frau,4,2.0,ja,5.0,im Schnitt 1 Mal pro Quartal (oder weniger),,NA,0.043478260869565216,2.7,2.5,1.0
15.09.2015 19:02:03,RVK,4,2,1,1,4,2,4,1,4,3,767,0.0,22,Mann,4,5.0,ja,110.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.6,2.5,NA
15.09.2015 19:35:41,MMR,2,3,2,3,1,4,3,3,2,1,600,3.0,22,Mann,2,1e9,nein,5.0,im Schnitt 1 Mal pro Monat,,NA,0.043478260869565216,2.4,2.5,1.0
15.09.2015 20:29:13,JAA,4,1,1,2,3,2,4,2,3,4,473,2.0,22,Frau,4,3.0,ja,12.0,im Schnitt 1 Mal pro Quartal (oder weniger),,NA,0.043478260869565216,2.6,2.5,1.0
15.09.2015 21:58:12,EBM,2,2,4,2,2,2,3,2,3,2,200,1.0,23,Frau,3,40.0,nein,5.0,im Schnitt 1 Mal pro Quartal (oder weniger),,NA,0.043478260869565216,2.4,2.0,1.0
15.09.2015 22:21:00,SDS,3,2,2,2,3,2,3,1,3,1,189,5.0,29,Frau,4,7.0,nein,12.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.2,2.0,NA
15.09.2015 23:00:23,aab,4,1,1,2,3,2,3,1,4,4,250,0.0,40,Mann,4,10.0,ja,5.0,im Schnitt mehrfach pro Tag,,NA,0.043478260869565216,2.5,2.5,NA
16.09.2015 10:09:06,RVM,4,1,3,1,4,3,3,1,3,1,360,15.0,19,Frau,3,5.0,nein,40.0,im Schnitt 1 Mal pro Quartal (oder weniger),,NA,0.043478260869565216,2.4,3.0,1.0
